fornitore,reg,codice_regione,Code,anno,mese,age_group,coverage_of_the_age_group,coverage_1,coverage_2,coverage_3,coverage_4,coverage_5,coverage_6,coverage_7,coverage_8,coverage_9,coverage_10,coverage_11,coverage_12,coverage_13,coverage_14,coverage_15,efficacy_baseline,efficacy_lower,efficacy_upper
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,1,2,.000042226686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,75,82
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,2,2,.00032725683,.88571429,.11428571,0,0,0,0,0,0,0,0,0,0,0,0,0,79,75,82
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,3,2,.0015623873,.80874318,.16939892,.021857925,0,0,0,0,0,0,0,0,0,0,0,0,78.97377,74.978142,81.932236
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,4,2,.0038531851,.66605842,.270073,.056569345,.00729927,0,0,0,0,0,0,0,0,0,0,0,78.891243,74.91716,81.775002
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,5,2,.0062389928,.51887619,.32045653,.12993854,.027216857,.0035118526,0,0,0,0,0,0,0,0,0,0,78.659698,74.743279,81.379807
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,6,2,.21057393,.94598311,.028028077,.017310064,.0070188749,.0014701699,.00018969933,0,0,0,0,0,0,0,0,0,78.921349,74.939568,81.88047
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,7,2,.18589243,.45507172,.51549292,.015273291,.0094327433,.0038247833,.00080113712,.00010337253,0,0,0,0,0,0,0,0,78.866394,74.88781,81.828407
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,8,2,.20111515,.32991031,.30493888,.34542653,.010234475,.0063207843,.002562948,.00053683372,.00006926887,0,0,0,0,0,0,0,78.367104,74.445465,80.707344
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,9,2,.088591591,.12692845,.28804922,.26624635,.30159667,.0089358613,.0055187638,.0022377453,.00046871696,.000018252918,0,0,0,0,0,0,76.609169,73.215706,78.764915
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,10,2,.031860035,.043883268,.12139107,.27547863,.25462723,.28843483,.008545896,.0052779224,.0021400889,.00022107203,0,0,0,0,0,0,73.964455,70.643272,76.156937
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,11,2,.032556776,.044147849,.042020213,.11621056,.26371816,.24375692,.27612126,.0081810635,.0050526024,.0007913718,0,0,0,0,0,0,66.82843,62.518253,70.173157
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,12,2,.0097670332,.012645356,.043608006,.041491922,.11474157,.26038334,.24067453,.27262959,.0080776103,.0049887104,.00075933803,0,0,0,0,0,53.588642,45.154915,57.869602
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2022,1,2,.0029301099,.0037792698,.012597566,.043448705,.04133603,.11430809,.25939929,.23976496,.27159926,.0080470825,.0049698567,.00074988557,0,0,0,0,41.686432,28.45661,47.100166
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2022,2,2,.00087903294,.001132497,.0037749899,.0125833,.043401152,.041289493,.11417869,.25910553,.23949343,.2712917,.0080379704,.0049642287,.0007470639,0,0,0,32.137432,14.169096,41.57452
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2022,3,2,.0002637099,.0003396337,.0011321122,.0037737077,.012579026,.043386903,.04127555,.11413992,.25901753,.23941208,.27119952,.0080352398,.0049625421,.00074621825,0,0,28.036041,7.1655159,40.969753
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,1,3,.015583404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,75,82
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,2,3,.016243465,.5103696,.48963046,0,0,0,0,0,0,0,0,0,0,0,0,0,79.000008,75.000008,82.000008
Pfizer/BioNTech/Moderna,Abruzzo,13,ITF1,2021,3,3,.012342114,.27942944,.36775729,.3528133,0,0,0,0,0,0,0,0,0,0,0,0,78.57663,74.647186,80.906281
